# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
1 1 1 47309 1 1 1 47279 1 1 1 47246 1
2 1 47310 1535 1 1 2743781 1535 1 1 47247 1535 1
3 1 48845 2181 1 1 48553 2181 1 1 48782 2181 1
4 1 54149 3316 1 1 50734 2955 -1 1 50963 2991 -1
5 1 59358 1244 1 1 3411515 1237 1 1 1072321 1244 1
6 1 60617 647678 1 1 53689 645787 1 1 57815 646802 1
7 1 708295 1878273 1 1 699476 1696736 1 1 3169296 1684658 -1
8 1 2610342 1238 1 1 5213387 1225 -1 1 3162479 1235 1
9 1 2613867 325738 1 1 2420521 314489 1 1 2806255 356224 -1
10 1 2964430 76661 1 1 2761450 74706 1 1 2726325 76070 -1
11 1 3042450 12438 1 1 2851681 6287 1 1 2704517 6283 -1
12 1 3058107 1531 1 1 2837370 8656 1 1 2716455 8656 -1
13 1 3067665 216579 1 1 2857968 242501 1 1 2458306 246211 -1
14 1 3284244 250021 1 1 3132581 272425 1 1 2150613 270200 -1
15 1 3539202 909579 1 1 3412827 824908 1 1 1354131 793313 -1
16 1 4448781 292747 1 1 4247926 230246 1 1 1126534 227597 -1
17 1 4741530 4132 1 1 5151358 21845 1 1 1077806 19302 -1
18 1 4765671 18608 1 1 5176723 20040 1 1 1049371 22118 -1
19 1 4790784 187385 1 1 4479871 178221 1 1 864649 184722 -1
20 1 5021972 1336 1 1 4240075 523 1 1 862835 1347 -1
21 1 5023308 157689 1 1 4662646 168334 1 1 704617 158218 -1
22 1 5180997 298826 1 1 4830980 298470 1 1 4853954 299361 1
23 1 5479823 235548 1 1 5233988 176351 1 1 5153315 172558 1
24 1 5715371 2126 1 1 3100469 1860 1 1 5325873 2126 1
25 1 5717497 535907 1 1 5410340 542734 1 1 5327999 539663 1
26 1 6257851 2799 1 1 2755879 2754 -1 1 2802395 2799 1
27 1 6270697 550123 1 1 5953074 446635 1 1 5875044 445679 1
28 1 6826719 944 1 1 2400701 944 -1 1 5868145 944 1
29 1 6829644 21311 1 1 6399709 21302 1 1 6320723 21312 1
